i,Jsm,Jc,R
1.00810124830131,313589931088.799,51638219.5892665,6072.82616602804
1.0180632933666,314370749868.091,52016703.7788159,6043.64996299746
1.02809772600011,315151483969.813,52396967.7747409,6014.68934852635
1.03820488074847,315932133183.67,52779015.1464773,5985.94218378015
1.04838509278564,316712697299.39,53162849.4596276,5957.40635648028
1.05863869791199,317493176106.723,53548474.2759652,5929.07978050883
1.06896603255334,318273569395.442,53935893.1534396,5900.96039551994
1.07936743376008,319053876955.346,54325109.6461806,5873.04616655803
1.08984323920614,319834098576.252,54716127.3045039,5845.33508368245
1.10039378718814,320614234048.004,55108949.6749158,5817.82516159874
1.1110194166244,321394283160.468,55503580.3001178,5790.51443929619
1.12172046705403,322174245703.533,55900022.7190113,5763.40097969161
1.13249727863597,322954121467.111,56298280.4667021,5736.48286927918
1.1433501921481,323733910241.14,56698357.0745066,5709.75821778619
1.15427954898624,324513611815.578,57100256.069955,5683.22515783481
1.1652856911633,325293225980.408,57503980.9767964,5656.88184460946
1.17636896130826,326072752525.636,57909535.3150045,5630.72645552985
1.1875297026653,326852191241.293,58316922.6007814,5604.75718992951
1.19876825909284,327631541917.432,58726146.3465624,5578.97226873988
1.21008497506263,328410804344.13,59137210.0610211,5553.36993417947
1.22148019565881,329189978311.49,59550117.2490747,5527.94844944835
1.23295426657695,329969063609.635,59964871.4118871,5502.70609842789
1.24450753412319,330748060028.715,60381476.0468751,5477.64118538524
1.25614034521325,331526967358.903,60799934.6477124,5452.75203468293
1.26785304737152,332305785390.395,61220250.7043348,5428.03699049317
1.27964598873016,333084513913.412,61642427.7029443,5403.494416517
1.29151951802812,333863152718.199,62066469.1260142,5379.12269570795
1.30347398461029,334641701595.026,62492378.4522936,5354.92023000037
1.31550973842649,335420160334.186,62920159.1568126,5330.88544004214
1.32762713003061,336198528725.997,63349814.7108856,5307.01676493186
1.33982651057966,336976806560.799,63781348.5821181,5283.31266196016
1.35210823183285,337754993628.961,64214764.2344092,5259.77160635554
1.36447264615068,338533089720.872,64650065.1279578,5236.39209103401
1.37692010649398,339311094626.948,65087254.7192662,5213.17262635307
1.38945096642305,340089008137.63,65526336.4611453,5190.11173986951
1.40206558009668,340866830043.38,65967313.8027196,5167.20797610115
1.41476430227126,341644560134.69,66410190.1894309,5144.45989629257
1.42754748829987,342422198202.072,66854969.063043,5121.86607818446
1.44041549413134,343199744036.065,67301653.8616474,5099.42511578665
1.45336867630933,343977197427.233,67750248.0196667,5077.13561915496
1.46640739197144,344754558166.164,68200754.96786,5054.99621417141
1.47953199884827,345531826043.472,68653178.1333266,5033.00554232812
1.4927428552625,346309000849.796,69107520.9395119,5011.16226051447
1.50604032012798,347086082375.798,69563786.8062103,4989.46504080786
1.51942475294885,347863070412.167,70021979.1495713,4967.91257026754
1.53289651381856,348639964749.617,70482101.3821033,4946.50355073186
1.54645596341901,349416765178.887,70944156.9126782,4925.23669861872
1.56010346301962,350193471490.742,71408149.1465361,4904.11074472905
1.57383937447638,350970083475.971,71874081.4852894,4883.12443405353
1.58766406023102,351746600925.389,72341957.326928,4862.27652558217
1.60157788331002,352523023629.837,72811780.0658237,4841.56579211698
1.61558120732374,353299351380.181,73283553.092734,4820.99102008757
1.62967439646551,354075583967.312,73757279.7948078,4800.55100936949
1.64385781551068,354851721182.148,74232963.5555888,4780.24457310559
1.65813182981578,355627762815.632,74710607.7550203,4760.07053753
1.67249680531754,356403708658.733,75190215.7694501,4740.02774179483
1.68695310853202,357179558502.444,75671790.9716348,4720.11503779964
1.70150110655372,357955312137.787,76155336.7307438,4700.33129002345
1.71614116705461,358730969355.808,76640856.4123646,4680.67537535936
1.73087365828331,359506529947.578,77128353.3785069,4661.14618295171
1.7456989490641,360281993704.197,77617830.9876061,4641.74261403577
1.76061740879608,361057360416.789,78109292.5945298,4622.4635817797
1.7756294074522,361832629876.503,78602741.5505798,4603.30801112921
1.79073531557844,362607801874.518,79098181.2034993,4584.27483865427
1.80593550429283,363382876202.035,79595614.8974747,4565.36301239836
1.82123034528458,364157852650.284,80095045.9731417,4546.57149172993
1.8366202108132,364932731010.522,80596477.7675886,4527.8992471961
1.85210547370753,365707511074.029,81099913.6143619,4509.3452603785
1.86768650736492,366482192632.114,81605356.8434697,4490.90852375142
1.88336368575027,367256775476.113,82112810.7813868,4472.58804054193
1.89913738339517,368031259397.387,82622278.7510585,4454.38282459223
1.91500797539695,368805644187.324,83133764.0719054,4436.29190022396
1.93097583741783,369579929637.339,83647270.0598275,4418.31430210457
1.94704134568402,370354115538.875,84162800.0272091,4400.44907511564
1.96320487698478,371128201683.399,84680357.282922,4382.69527422326
