i,Jsm,Jc,R
467.490207914088,1337646684578.11,4864639583.65582,274.973440801725
467.886798208604,1337841187914.71,4867740747.75709,274.838216996487
468.2836135435,1338035602843.8,4870843069.24395,274.703081955685
468.680653975917,1338229929352.55,4873946548.23121,274.568035596985
469.077919565491,1338424167428.11,4877051184.83363,274.433077838155
469.475410369859,1338618317057.65,4880156979.16609,274.298208597051
469.873126446334,1338812378228.34,4883263931.34335,274.163427791634
470.271067851354,1339006350927.35,4886372041.48027,274.028735339955
470.669234644621,1339200235141.87,4889481309.69171,273.894131160164
471.067626884945,1339394030859.08,4892591736.0924,273.759615170512
471.466244627791,1339587738066.18,4895703320.79714,273.625187289344
471.865087932853,1339781356750.36,4898816063.92062,273.490847435106
472.26415685682,1339974886898.84,4901929965.57778,273.356595526329
472.663451458839,1340168328498.81,4905045025.88331,273.222431481651
473.062971795364,1340361681537.51,4908161244.95199,273.088355219801
473.462717925038,1340554946002.15,4911278622.89845,272.954366659615
473.862689905416,1340748121879.96,4914397159.83754,272.820465720008
474.262887794992,1340941209158.18,4917516855.88404,272.686652319997
474.663311650079,1341134207824.04,4920637711.15257,272.552926378704
475.063961530357,1341327117864.8,4923759725.75792,272.419287815334
475.46483749249,1341519939267.69,4926882899.81483,272.285736549191
475.865939594697,1341712672019.99,4930007233.43782,272.152272499687
476.267267894426,1341905316108.96,4933132726.74184,272.018895586303
476.66882244961,1342097871521.86,4936259379.84146,271.885605728638
477.070603318382,1342290338245.98,4939387192.85134,271.752402846378
477.472610557933,1342482716268.58,4942516165.88622,271.619286859301
477.874844227016,1342675005576.97,4945646299.06071,271.486257687286
478.277304382619,1342867206158.43,4948777592.48952,271.353315250299
478.679991082028,1343059318000.26,4951910046.28733,271.220459468404
479.082904384395,1343251341089.76,4955043660.56868,271.087690261765
479.486044346152,1343443275414.26,4958178435.44841,270.955007550623
479.889411026011,1343635120961.06,4961314371.04093,270.822411255336
480.293004481031,1343826877717.48,4964451467.46107,270.689901296335
480.696824769534,1344018545670.86,4967589724.8233,270.55747759416
481.100871948966,1344210124808.53,4970729143.24232,270.425140069435
481.50514607651,1344401615117.82,4973869722.83272,270.292888642881
481.909647210663,1344593016586.09,4977011463.70911,270.160723235313
482.314375408829,1344784329200.69,4980154365.98606,270.028643767637
482.719330728989,1344975552948.97,4983298429.77826,269.89665016085
483.124513228032,1345166687818.3,4986443655.20017,269.764742336049
483.529922964875,1345357733796.05,4989590042.36641,269.63292021442
483.935559995966,1345548690869.59,4992737591.39158,269.501183717239
