i,Jsm,Jc,R
1.00139680388073,310965085125.83,252039509.534792,1233.79499388727
1.00834001230547,311667745785.339,253208493.23942,1230.87397977067
1.0153343827809,312372253431.887,254383413.405137,1227.95841619751
1.02238031922015,313078613926.871,255564303.565093,1225.0482933628
1.02947822897201,313786833153.802,256751197.464589,1222.14360148049
1.0366285228504,314496917018.386,257944129.062549,1219.24433078344
1.04383161516884,315208871448.625,259143132.533054,1216.35047152338
1.05108792376914,315922702394.905,260348242.266845,1213.46201397088
1.05839787005728,316638415830.089,261559492.872866,1210.57894841536
1.06576187903433,317356017749.615,262776919.179811,1207.70126516499
1.07318037932895,318075514171.583,264000556.237671,1204.82895454671
1.08065380323381,318796911136.857,265230439.319316,1201.9620069062
1.08818258673516,319520214709.152,266466603.922068,1199.1004126078
1.09576716955081,320245430975.13,267709085.769293,1196.24416203458
1.10340799516191,320972566044.506,268957920.812022,1193.39324558817
1.11110551084888,321701626050.124,270213145.230552,1190.54765368887
1.11886016772687,322432617148.075,271474795.436095,1187.70737677552
1.12667242078015,323165545517.774,272742908.072407,1184.87240530552
1.1345427288989,323900417362.068,274017520.017454,1182.04272975479
1.14247155491532,324637238907.333,275298668.385088,1179.21834061773
1.15045936563921,325376016403.564,276586390.526715,1176.39922840721
1.1585066318961,326116756124.481,277880724.033014,1173.58538365452
1.16661382856372,326859464367.623,279181706.735624,1170.77679690936
1.17478143461025,327604147454.444,280489376.708882,1167.9734587398
1.18300993313239,328350811730.422,281803772.271564,1165.17535973224
1.19129981139274,329099463565.144,283124931.988621,1162.38249049141
1.19965156085994,329850109352.421,284452894.672962,1159.59484164031
1.20806567724694,330602755510.372,285787699.387219,1156.8124038202
1.2165426605514,331357408481.538,287129385.445542,1154.03516769058
1.22508301509467,332114074732.978,288477992.41542,1151.26312392912
1.23368724956294,332872760756.365,289833560.119481,1148.4962632317
1.2423558770475,333633473068.098,291196128.637351,1145.7345763123
1.25108941508752,334396218209.393,292565738.307483,1142.97805390304
1.25988838570884,335161002746.391,293942429.729035,1140.22668675411
1.26875331546857,335927833270.265,295326243.763753,1137.48046563377
1.27768473549578,336696716397.31,296717221.537852,1134.73938132829
1.28668318153668,337467658769.063,298115404.443944,1132.00342464195
1.29574919399451,338240667052.391,299520834.142947,1129.27258639699
1.30488331797676,339015747939.604,300933552.566032,1126.54685743364
1.31408610333739,339792908148.561,302353601.916589,1123.82622860997
1.32335810472192,340572154422.767,303781024.672177,1121.11069080201
1.3326998816125,341353493531.487,305215863.586537,1118.4002349036
1.34211199837393,342136932269.844,306658161.691571,1115.69485182643
1.35159502429964,342922477458.928,308107962.299377,1112.99453250002
1.36114953365677,343710135945.909,309565309.004284,1110.29926787162
1.37077610573554,344499914604.128,311030245.684891,1107.60904890628
1.38047532489453,345291820333.223,312502816.506155,1104.92386658673
1.39024778060982,346085860059.221,313983065.921457,1102.24371191341
1.40009406752382,346882040734.651,315471038.674707,1099.56857590447
1.41001478549183,347680369338.659,316966779.802481,1096.89844959563
1.42001053963508,348480852877.104,318470334.636124,1094.23332404027
1.43008194038736,349283498382.68,319981748.803936,1091.57319030936
1.44022960354691,350088312915.013,321501068.233315,1088.9180394914
1.45045415032766,350895303560.778,323028339.152953,1086.26786269247
1.4607562074099,351704477433.812,324563608.095056,1083.62265103612
1.47113640699315,352515841675.212,326106921.897535,1080.98239566339
1.48159538684715,353329403453.462,327658327.706283,1078.34708773278
1.49213379036732,354145169964.53,329217872.977399,1075.71671842021
1.50275226662608,354963148431.987,330785605.479484,1073.09127891903
1.51345147042784,355783346107.119,332361573.295942,1070.47076043993
1.52423206236402,356605770269.033,333945824.82727,1067.85515421097
1.53509470886906,357430428224.781,335538408.793417,1065.24445147751
1.5460400822733,358257327309.46,337139374.236112,1062.63864350225
1.55706886086375,359086474886.33,338748770.521246,1060.03772156513
1.56818172893677,359917878346.936,340366647.341267,1057.44167696333
1.57937937685891,360751545111.209,341993054.71757,1054.85050101129
1.59066250112333,361587482627.589,343628043.002949,1052.26418504058
1.6020318044095,362425698373.136,345271662.884022,1049.68272040001
1.61348799564172,363266199853.644,346923965.38371,1047.10609845549
1.62503179004997,364108994603.764,348585001.863732,1044.53431059005
1.63666390923039,364954090187.108,350254824.027092,1041.96734820383
1.6483850812061,365801494196.379,351933483.920634,1039.40520271402
1.66019604048912,366651214253.472,353621033.937567,1036.84786555487
1.67209752814375,367503258009.601,355317526.820043,1034.29532817763
1.68409029184846,368357633145.42,357023015.661763,1031.74758205055
1.69617508596059,369214347371.125,358737553.910557,1029.20461865885
1.70835267158156,370073408426.591,360461195.371053,1026.66642950469
1.72062381661979,370934824081.474,362193994.2073,1024.13300610714
1.73298929585907,371798602135.335,363936004.945459,1021.60434000218
1.74544989102345,372664750417.768,365687282.476512,1019.08042274263
1.75800639084558,373533276788.502,367447882.058953,1016.5612458982
1.77065959113279,374404189137.539,369217859.321564,1014.04680105536
1.78341029483835,375277495385.258,370997270.266151,1011.53707981742
1.79625931212939,376153203482.542,372786171.270345,1009.03207380446
1.80920746045675,377031321410.904,374584619.090421,1006.53177465328
1.82225556462574,377911857182.596,376392670.864108,1004.03617401742
1.83540445686902,378794818840.744,378210384.113472,1001.54526356711
1.84865497691799,379680214459.455,380037816.747772,999.059034989263
1.86200797207537,380568052143.949,381875027.066378,996.577479987446
1.87546429728977,381458340030.68,383722073.761704,994.100590281837
1.88902481523057,382351086287.453,385579015.922136,991.628357609237
1.90269039636221,383246299113.556,387445913.03504,989.160773723006
1.91646191902172,384143986739.873,389322824.989733,986.697830393076
1.93034026949506,385044157429.01,391209812.080521,984.239519405913
1.94432634209462,385946819475.429,393106935.009763,981.785832564476
1.95842103923783,386851981205.555,395014254.890911,979.336761688233
1.97262527152783,387759650977.918,396931833.251656,976.89229861309
1.98693995783259,388669837183.26,398859732.037012,974.452435191413
2.00136602536582,389582548244.673,400798013.612489,972.017163291984
2.01590440977029,390497792617.722,402746740.767281,969.586474799963
2.03055605520008,391415578790.563,404705976.717443,967.160361616901
2.04532191440293,392335915284.082,406675785.109153,964.73881566068
2.06020294880764,393258810652.004,408656230.021942,962.321828865521
2.07520012860713,394184273481.034,410647375.971992,959.909393181949
2.09031443284642,395112312390.98,412649287.915457,957.501500576755
2.10554684950899,396042936034.871,414662031.251781,955.098143033008
2.1208983756061,396976153099.101,416685671.82709,952.699312549994
2.13637001726452,397911972303.539,418720275.937563,950.305001143228
2.15196278981891,398850402401.664,420765910.332868,947.915200844417
2.16767771790051,399791452180.701,422822642.219623,945.529903701421
2.18351583553098,400735130461.732,424890539.264854,943.149101778271
2.19947818621498,401681446099.842,426969669.59953,940.772787155101
2.21556582303357,402630407984.235,429060101.82208,938.400951928166
2.23177980874049,403582025038.366,431161905.001967,936.033588209803
2.2481212158585,404536306220.077,433275148.683308,933.670688128394
2.2645911267737,405493260521.714,435399902.888462,931.312243828383
2.28119063383738,406452896970.272,437536238.121731,928.958247470209
2.29792083946306,407415224627.509,439684225.373016,926.608691230323
2.31478285622739,408380252590.085,441843936.121548,924.263567301153
2.33177780697168,409347989989.694,444015442.339655,921.922867891064
2.34890682490327,410318445993.186,446198816.496513,919.586585224377
2.36617105370089,411291629802.709,448394131.561994,917.254711541301
2.38357164761771,412267550655.828,450601461.010486,914.927239097954
2.40110977158858,413246217825.661,452820878.824776,912.604160166323
2.41878660133512,414227640621.016,455052459.499982,910.28546703423
2.43660332347592,415211828386.512,457296278.047462,907.971152005347
2.45456113563358,416198790502.72,459552409.998829,905.661207399131
2.47266124654767,417188536386.286,461820931.409925,903.355625550844
2.49090487618375,418181075490.069,464101918.864883,901.054398811518
2.50929325584814,419176417303.274,466395449.480218,898.757519547912
2.5278276283008,420174571351.574,468701600.908903,896.464980142536
2.5465092478716,421175547197.261,471020451.344562,894.176772993583
2.56533938057561,422179354439.357,473352079.525607,891.892890514952
2.58431930423229,423186002713.758,475696564.739478,889.613325136206
2.60345030858327,424195501693.372,478053986.826909,887.338069302541
2.62273369541391,425207861088.237,480424426.186179,885.0671154748
2.6421707786735,426223090645.671,482807963.777477,882.800456129415
2.66176288459974,427241200150.388,485204681.127233,880.538083758417
2.68151135184239,428262199424.639,487614660.332523,878.279990869411
2.70141753158923,429286098328.355,490037984.065527,876.026169985532
2.72148278769211,430312906759.259,492474735.577963,873.776613645466
2.74170849679683,431342634653.02,494924998.705637,871.531314403391
2.76209604847191,432375291983.372,497388857.872958,869.290264828987
