system,relative_path,file_name,size_bytes,width_px,height_px
2-10nm,data/representative_MD_snapshots/2-10nm/0psmotai1_2-10nm.png,0psmotai1_2-10nm.png,1506653,1600,1200
2-10nm,data/representative_MD_snapshots/2-10nm/0psmotai2_2-10nm.png,0psmotai2_2-10nm.png,2766163,1600,1200
2-10nm,data/representative_MD_snapshots/2-10nm/ym_N2-10nm.png,ym_N2-10nm.png,167576,3216,2462
2-2nm,data/representative_MD_snapshots/2-2nm/0ns.png,0ns.png,205041,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/1500psqianyi-2.png,1500psqianyi-2.png,275842,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/1700psqianyi-3.png,1700psqianyi-3.png,274956,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/1800psqianyi-4.png,1800psqianyi-4.png,299910,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/1nsqianyi-1.png,1nsqianyi-1.png,254269,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/2-2nm_migration_nucleation_sequence.png,2-2nm_migration_nucleation_sequence.png,720861,2560,601
2-2nm,data/representative_MD_snapshots/2-2nm/2-2nm_nucleation_sequence.png,2-2nm_nucleation_sequence.png,882184,2560,600
2-2nm,data/representative_MD_snapshots/2-2nm/300ps.png,300ps.png,298177,640,480
2-2nm,data/representative_MD_snapshots/2-2nm/5ns.png,5ns.png,243347,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/0ps.png,0ps.png,323746,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/1000ps.png,1000ps.png,346025,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/2-4nm_migration_sequence.png,2-4nm_migration_sequence.png,973231,2560,600
2-4nm,data/representative_MD_snapshots/2-4nm/2-4nm_nucleation_sequence.png,2-4nm_nucleation_sequence.png,1392621,2560,600
2-4nm,data/representative_MD_snapshots/2-4nm/350ps.png,350ps.png,335216,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/5000ps.png,5000ps.png,381028,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi1080ps.png,migration_qianyi1080ps.png,344724,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi1095ps.png,migration_qianyi1095ps.png,348467,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi1203ps.png,migration_qianyi1203ps.png,346459,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi1285ps.png,migration_qianyi1285ps.png,338716,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi763ps.png,migration_qianyi763ps.png,351942,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi769ps.png,migration_qianyi769ps.png,346961,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi770ps.png,migration_qianyi770ps.png,348954,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi788ps.png,migration_qianyi788ps.png,355263,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi810ps.png,migration_qianyi810ps.png,354693,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi850ps.png,migration_qianyi850ps.png,365899,640,480
2-4nm,data/representative_MD_snapshots/2-4nm/migration_qianyi970ps.png,migration_qianyi970ps.png,326223,640,480
summary_or_SI,data/representative_MD_snapshots/figS1_mds_system.png,figS1_mds_system.png,608119,1187,476
